latency,duration,type,marker_value,key,timestamp,marker_id
6.145220,0.000000,task_start,1,-1,1747999346.837291,1
8.144173,0.000000,task_start,1,-1,1747999348.836244,2
10.143127,0.000000,task_start,1,-1,1747999350.835198,3
12.142080,0.000000,task_start,1,-1,1747999352.834151,4
14.133225,0.000000,task_start,1,-1,1747999354.825296,5
16.132179,0.000000,task_start,1,-1,1747999356.824250,6
18.131132,0.000000,task_start,1,-1,1747999358.823203,7
20.130085,0.000000,task_start,1,-1,1747999360.822156,8
22.144656,0.000000,task_start,1,-1,1747999362.836727,9
24.143609,0.000000,task_start,1,-1,1747999364.835680,10
26.142562,0.000000,task_start,1,-1,1747999366.834633,11
28.141516,0.000000,task_start,1,-1,1747999368.833587,12
30.140469,0.000000,task_start,1,-1,1747999370.832540,13
32.139423,0.000000,task_start,1,-1,1747999372.831494,14
34.138376,0.000000,task_start,1,-1,1747999374.830447,15
36.129521,0.000000,task_start,1,-1,1747999376.821592,16
38.128474,0.000000,task_start,1,-1,1747999378.820545,17
40.143045,0.000000,task_start,1,-1,1747999380.835116,18
42.141998,0.000000,task_start,1,-1,1747999382.834069,19
44.140951,0.000000,task_start,1,-1,1747999384.833022,20
46.139905,0.000000,task__end,2,-1,1747999386.831976,21
69.619799,0.000000,task_start,1,-1,1747999410.311870,22
71.634369,0.000000,task_start,1,-1,1747999412.326440,23
73.633322,0.000000,task_start,1,-1,1747999414.325393,24
75.647892,0.000000,task_start,1,-1,1747999416.339963,25
77.646846,0.000000,task_start,1,-1,1747999418.338917,26
79.645799,0.000000,task_start,1,-1,1747999420.337870,27
81.644752,0.000000,task_start,1,-1,1747999422.336823,28
83.635897,0.000000,task_start,1,-1,1747999424.327968,29
85.634851,0.000000,task_start,1,-1,1747999426.326922,30
87.633804,0.000000,task_start,1,-1,1747999428.325875,31
89.632758,0.000000,task_start,1,-1,1747999430.324829,32
91.631711,0.000000,task_start,1,-1,1747999432.323782,33
93.646281,0.000000,task_start,1,-1,1747999434.338352,34
95.645234,0.000000,task_start,1,-1,1747999436.337305,35
97.644188,0.000000,task_start,1,-1,1747999438.336259,36
99.643141,0.000000,task_start,1,-1,1747999440.335212,37
101.642095,0.000000,task_start,1,-1,1747999442.334166,38
103.633240,0.000000,task_start,1,-1,1747999444.325311,39
105.632193,0.000000,task_start,1,-1,1747999446.324264,40
107.631146,0.000000,task_start,1,-1,1747999448.323217,41
109.630100,0.000000,task__end,2,-1,1747999450.322171,42
133.141227,0.000000,task_start,1,-1,1747999473.833298,43
135.140181,0.000000,task_start,1,-1,1747999475.832252,44
137.139134,0.000000,task_start,1,-1,1747999477.831205,45
139.138087,0.000000,task_start,1,-1,1747999479.830158,46
141.137041,0.000000,task_start,1,-1,1747999481.829112,47
143.135994,0.000000,task_start,1,-1,1747999483.828065,48
145.134948,0.000000,task_start,1,-1,1747999485.827019,49
147.149518,0.000000,task_start,1,-1,1747999487.841589,50
149.148471,0.000000,task_start,1,-1,1747999489.840542,51
151.139616,0.000000,task_start,1,-1,1747999491.831687,52
153.138569,0.000000,task_start,1,-1,1747999493.830640,53
155.137523,0.000000,task_start,1,-1,1747999495.829594,54
157.136476,0.000000,task_start,1,-1,1747999497.828547,55
159.135430,0.000000,task_start,1,-1,1747999499.827501,56
161.134383,0.000000,task_start,1,-1,1747999501.826454,57
163.133336,0.000000,task_start,1,-1,1747999503.825407,58
165.147907,0.000000,task_start,1,-1,1747999505.839978,59
167.146860,0.000000,task_start,1,-1,1747999507.838931,60
169.145813,0.000000,task_start,1,-1,1747999509.837884,61
171.144767,0.000000,task_start,1,-1,1747999511.836838,62
173.135912,0.000000,task__end,2,-1,1747999513.827983,63
